verse_ref,verse_key,projection_status,source_refs,continuous_series,classification_number,classification,confidence,evidence_note,conclusion_ru,source_links
Josh.8.26,4NH,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc marks target 8.26 N/A in the displayed LXX controls. CrossWire source 8.25 resumes with target 8.27 content.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Josh.10.15,4OW,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc marks the first Gilgal-return row 10.15 N/A in the displayed LXX controls. CrossWire source 10.15 resumes with target 10.16 content.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Josh.10.43,4PO,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc marks the second Gilgal-return row 10.43 N/A in the displayed LXX controls. CrossWire source chapter 10 ends after target 10.42 content.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Josh.13.33,4RW,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc marks the Levi-no-inheritance row 13.33 N/A in the displayed LXX controls. CrossWire source chapter 13 ends after target 13.32 content.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.13.1,5RZ,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,CrossWire source 13.1 aligns with KJV 13.2. GreekDoc polyglot 1sam13.html marks the reign-duration line at target 13.1 N/A in both Alexandrinus and Vaticanus controls.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.12,5VZ,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.13,5W0,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.14,5W1,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.15,5W2,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.16,5W3,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.17,5W4,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.18,5W5,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.19,5W6,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.20,5W7,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.21,5W8,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.22,5W9,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.23,5WA,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.24,5WB,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.25,5WC,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.26,5WD,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.27,5WE,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.28,5WF,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.29,5WG,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.30,5WH,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.31,5WI,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.12-31,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.41,5WS,short_greek_recension_lacks_long_mt_kjv_material,,,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.50,5X1,short_greek_recension_lacks_long_mt_kjv_material,,,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.55,5X6,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.55-58,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.56,5X7,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.55-58,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.57,5X8,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.55-58,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.17.58,5X9,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.17.55-58,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.1,5XA,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.1-5,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.2,5XB,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.1-5,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.3,5XC,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.1-5,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.4,5XD,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.1-5,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.5,5XE,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.1-5,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.10,5XJ,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.10-11,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.11,5XK,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.10-11,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.17,5XQ,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.17-19,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.18,5XR,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.17-19,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.19,5XS,short_greek_recension_lacks_long_mt_kjv_material,,1Sam.18.17-19,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Sam.18.30,5Y3,short_greek_recension_lacks_long_mt_kjv_material,,,7,Исторически засвидетельствованный текстуальный вариант,high,Known minus in the shorter Greek 1 Samuel 17-18 account followed by CrossWire: do not synthesize the longer MT/KJV material into LXX text.,Короткая греческая редакция не содержит отдельной MT/KJV-семантической строки; пустота воспроизводится утверждённой проекцией.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Kgs.7.31,6X2,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 7.31 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Kgs.9.23,703,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 9.23 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Kgs.9.25,705,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 9.25 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Kgs.11.39,724,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 11.39 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Kgs.12.17,72P,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 12.17 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Kgs.13.27,73W,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 13.27 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
1Kgs.15.6,754,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc polyglot marks target 15.6 N/A in both displayed Greek witnesses.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
2Chr.27.8,92S,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc shows no distinct Greek text for the KJV 27.8 age/regnal-length statement. The following death-and-burial line is numbered 27.8 in one displayed Greek witness and 27.9 in the other; CrossWire source 27.8 aligns with KJV target 27.9.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Neh.4.6,9JI,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc marks Neh.4.6 N/A; CrossWire source 4.1 resumes with KJV 4.7 content.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Neh.11.16,9Q5,confirmed_unrepresented_in_lxx_control,,,10,Недостаточно данных,medium,GreekDoc marks Neh.11.16 N/A; CrossWire source 11.16 resumes with the Mattaniah line corresponding to target 11.17.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Neh.11.20,9Q9,confirmed_unrepresented_in_lxx_control,,Neh.11.20-21,10,Недостаточно данных,medium,GreekDoc marks Neh.11.20 N/A; CrossWire source proceeds from target 11.19 to target 11.22.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
Neh.11.21,9QA,confirmed_unrepresented_in_lxx_control,,Neh.11.20-21,10,Недостаточно данных,medium,GreekDoc marks Neh.11.21 N/A; CrossWire source proceeds from target 11.19 to target 11.22.,В проверенных LXX-контролях отдельная строка не представлена; проекция намеренно не дублирует соседний греческий текст. Исчерпывающий поиск по всем древним греческим свидетелям не доказан.,https://crosswire.org/sword/modules/ModInfo.jsp?modName=LXX;https://www.die-bibel.de/en/bible/LXX/GEN.1;https://archive.org/details/oldtestamentingr01swet
